City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Looc,PH,81.88,overcast clouds,12.26,121.99,Cummings Highlands
7,Neiafu,TO,78.8,few clouds,-18.65,-173.98,Mystic Sands
8,Kapaa,US,86.0,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
9,Tual,ID,79.03,broken clouds,-5.67,132.75,Grand Vilia Hotel
12,Hasaki,JP,75.2,mist,35.73,140.83,Inubosaki Kanko Hotel
13,Sola,VU,80.98,light rain,-13.88,167.55,Leumerus Bungalows
18,Kalianget,ID,78.49,clear sky,-7.05,113.93,Pesanggrahan Garam
19,San Cristobal,VE,87.8,scattered clouds,7.77,-72.22,Pirineos
20,Puerto Escondido,MX,80.6,moderate rain,15.85,-97.07,Aldea del Bazar Hotel and Spa
27,Palmer,US,90.0,broken clouds,42.16,-72.33,Wedgewood Motel
29,Korla,CN,76.82,clear sky,41.76,86.15,Gulisitan Hotel
30,Tamiahua,MX,88.03,broken clouds,21.27,-97.45,Mission Of The Sun Hotel
44,Cayenne,GF,78.8,few clouds,4.93,-52.33,Hôtel Le Dronmi
54,Praia Da Vitoria,PT,78.8,few clouds,38.73,-27.07,Hotel Branco I
57,Sao Filipe,CV,79.7,broken clouds,14.9,-24.5,Tortuga B&B
62,Katsuura,JP,77.0,overcast clouds,35.13,140.3,Katsuura Hotel Mikazuki
63,Lorengau,PG,79.03,moderate rain,-2.02,147.27,Lorengau Harbourside Hotel
67,Jamestown,US,81.0,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
69,Puerto Ayora,EC,77.0,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
76,Vaini,TO,77.0,few clouds,-21.2,-175.2,Keleti Beach Resort
80,Gizo,SB,80.55,light rain,-8.1,156.84,Imagination Island
81,Puerto Ayacucho,VE,79.05,light rain,5.66,-67.62,Posada Turistica Manapiare
86,Cam Ranh,VN,82.4,few clouds,11.92,109.16,OYO 598 Peony Hotel
87,Floresta,BR,83.03,scattered clouds,-8.6,-38.57,Pousada Maria Bonita
90,Victoria,HK,84.0,clear sky,22.29,114.16,Mini Hotel Central
91,Nieuw Amsterdam,SR,84.2,shower rain,5.88,-55.08,Hotel Stardust
92,Tocache,PE,82.4,overcast clouds,-8.18,-76.51,Marylin Trevejos Rojas
94,Rincon,US,84.2,broken clouds,32.3,-81.24,Bent tree subdivision
96,Maceio,BR,77.0,few clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
98,Atuona,PF,78.44,clear sky,-9.8,-139.03,Villa Enata
99,Surt,LY,79.32,clear sky,31.21,16.59,City Hotel
100,San Quintin,MX,80.64,clear sky,30.48,-115.95,Old Mill Hotel
103,Havelock,US,82.4,light rain,34.88,-76.9,Sherwood Motel
113,Goderich,CA,84.99,clear sky,43.75,-81.72,Harmony Inn
115,Naze,JP,80.6,moderate rain,28.37,129.48,奄美ポートタワーホテル
116,Hilo,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
119,Grand-Santi,GF,82.02,light rain,4.25,-54.38,Hotel La Villa Couacou
120,Kapoeta,SS,76.32,light rain,4.77,33.59,Eastgate Hotel
121,Weyburn,CA,80.01,clear sky,49.67,-103.85,Perfect Inns & Suites
125,Salalah,OM,77.0,overcast clouds,17.02,54.09,HAMDAN PLAZA HOTEL
133,Bengkulu,ID,75.81,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
135,Avarua,CK,77.0,clear sky,-21.21,-159.78,Paradise Inn
136,Broome,US,84.0,scattered clouds,42.25,-75.83,Chenango Valley State Park
139,Hithadhoo,MV,82.54,light rain,-0.6,73.08,Scoop Guest House
140,Mahon,ES,75.2,clear sky,39.89,4.27,ARTIEM Capri
142,Kavieng,PG,77.72,moderate rain,-2.57,150.8,Nusa Island Retreat
145,Kloulklubed,PW,80.6,broken clouds,7.04,134.26,Storyboard Beach Resort
147,Chengdu,CN,75.0,thunderstorm with light rain,30.67,104.07,Crowne Plaza Chengdu City Center
148,Guerrero Negro,MX,85.95,scattered clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
150,Shenjiamen,CN,80.47,clear sky,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
152,Sapele,NG,75.11,overcast clouds,5.89,5.68,Movig Hotel & Suites
153,Eydhafushi,MV,82.38,light rain,5.1,73.07,Soneva Fushi
157,Harper,LR,76.71,overcast clouds,4.38,-7.72,Screensaver
